Nr. crt.,Numele padurii virgine si/sau cvasivirgine,"Fundamentat in baza Amenaj silvic, editia","Fundamentat in baza Studiu de fundam, editia",Tipul de proprietate,Latitude,Longitude,Altitudine min,Altitudine max,Localizare administrativa Judet,Detinator Admin OS/OSP,UP,u.a.,TP,S (ha),din care: suprafete care nu corespund criteriului de naturalitate u.a.,din care: suprafete care nu corespund criteriului de naturalitate S (ha)
70,Olteana,2011.0,,publică stat,45.308588888888885,22.512344444444444,1245.0,1425.0,Caraş Severin,O.S. Oțelu Roșu,VII,90B,4114.0,13.8,,
71,Olteana,2011.0,,publică stat,45.309038888888885,22.49831388888889,1185.0,1365.0,Caraş Severin,O.S. Oțelu Roșu,VII,93A,4114.0,14.6,,
72,Olteana,2011.0,,publică stat,45.30598611111111,22.506191666666666,1245.0,1490.0,Caraş Severin,O.S. Oțelu Roșu,VII,93B,4114.0,30.6,,
73,Olteana,2011.0,,publică stat,45.309725,22.49556388888889,1185.0,1365.0,Caraş Severin,O.S. Oțelu Roșu,VII,94A,4114.0,12.0,,
74,Olteana,2011.0,,publică stat,45.305749999999996,22.500275,1300.0,1425.0,Caraş Severin,O.S. Oțelu Roșu,VII,94B,4114.0,7.04,,
75,Olteana,2011.0,,publică stat,45.30606944444444,22.49622777777778,1180.0,1405.0,Caraş Severin,O.S. Oțelu Roșu,VII,97A,4114.0,36.8,,
76,Olteana,2011.0,,publică stat,45.30308888888889,22.5007,1320.0,1490.0,Caraş Severin,O.S. Oțelu Roșu,VII,97B,1141.0,14.0,,
77,Gâsca,2012.0,,publică stat,44.31603611111111,23.821883333333332,975.0,1095.0,Caraş Severin,OS Băile Herculane,V,162C,4111.0,2.06,,
78,Gâsca,2012.0,,publică stat,44.31623611111111,23.823008333333334,975.0,1100.0,Caraş Severin,OS Băile Herculane,V,163B,4111.0,3.19,,
79,Corha,2007.0,,publică stat,47.56111111111111,24.0975,665.0,1100.0,Mara-mureş,OS.Groşii Ţibleşului,V,38 A,4114.0,48.9,,
80,Corha,2007.0,,publică stat,47.558055555555555,24.098333333333333,685.0,760.0,Mara-mureş,OS.Groşii Ţibleşului,V,38 B,4114.0,1.2,,
81,Corha,2007.0,,publică stat,47.562777777777775,24.092777777777776,1030.0,1100.0,Mara-mureş,OS.Groşii Ţibleşului,V,38 C,4114.0,1.8,,
82,Corha,2007.0,,publică stat,47.56444444444444,24.09472222222222,1040.0,1090.0,Mara-mureş,OS.Groşii Ţibleşului,V,38 D,4114.0,0.7,,
83,Corha,2007.0,,publică stat,47.55777777777777,24.099166666666665,680.0,710.0,Mara-mureş,OS.Groşii Ţibleşului,V,38 E,4114.0,0.4,,
84,Corha,2007.0,,publică stat,47.56666666666667,24.103333333333335,680.0,1085.0,Mara-mureş,OS.Groşii Ţibleşului,V,39,4114.0,51.9,,
85,Preluci,2007.0,,publică stat,47.53111111111111,24.211944444444445,840.0,1150.0,Mara-mureş,OS.Groşii Ţibleşului,VI,112 A,2321.0,42.8,,
86,Preluci,2007.0,,publică stat,47.536944444444444,24.21833333333333,910.0,1210.0,Mara-mureş,OS.Groşii Ţibleşului,VI,113 A,2321.0,28.0,,
87,Preluci,2007.0,,publică stat,47.54138888888889,24.224166666666665,1170.0,1270.0,Mara-mureş,OS.Groşii Ţibleşului,VI,113 B,4151.0,4.1,,
88,Preluci,2007.0,,publică stat,47.54111111111111,24.21944444444444,1270.0,1300.0,Mara-mureş,OS.Groşii Ţibleşului,VI,113 C,1153.0,1.2,,
89,Preluci,2007.0,,publică stat,47.538888888888884,24.223888888888887,950.0,1300.0,Mara-mureş,OS.Groşii Ţibleşului,VI,114 A,4131.0,10.1,,
90,Preluci,2007.0,,publică stat,47.54,24.22833333333333,1290.0,1370.0,Mara-mureş,OS.Groşii Ţibleşului,VI,114 B,1153.0,2.2,,
91,Preluci,2007.0,,publică stat,47.53611111111111,24.22472222222222,950.0,1300.0,Mara-mureş,OS.Groşii Ţibleşului,VI,115 A,4131.0,27.8,,
