Nr. crt.,Numele padurii virgine si/sau cvasivirgine,"Fundamentat in baza Amenaj silvic, editia","Fundamentat in baza Studiu de fundam, editia",Tipul de proprietate,Latitude,Longitude,Altitudine min,Altitudine max,Localizare administrativa Judet,Detinator Admin OS/OSP,UP,u.a.,TP,S (ha),din care: suprafete care nu corespund criteriului de naturalitate u.a.,din care: suprafete care nu corespund criteriului de naturalitate S (ha),geometry,tree_cover,loss_year
68,Manioasa,2014,,publica stat,45.25872778,22.59178611,1100.0,1350.0,Caras Severin,OS Teregova,IV,87D,4161.0,8.87,,,POINT (22.59178611 45.25872778),85,0
69,Manioasa,2014,,publica stat,45.25613611,22.59016944,1400.0,1450.0,Caras Severin,OS Teregova,IV,87E,4161.0,12.61,,,POINT (22.59016944 45.25613611),90,0
70,Manioasa,2014,,publica stat,45.26421944,22.5903,1150.0,1350.0,Caras Severin,OS Teregova,IV,88A,4161.0,27.82,,,POINT (22.5903 45.26421944),89,0
71,Manioasa,2014,,publica stat,45.26459167,22.59274444,1300.0,1400.0,Caras Severin,OS Teregova,IV,88B,4161.0,6.72,,,POINT (22.59274444 45.26459167),91,0
72,Manioasa,2014,,publica stat,45.26773333,22.59178889,1200.0,1300.0,Caras Severin,OS Teregova,IV,89A,4161.0,13.52,,,POINT (22.59178889 45.26773333),89,0
73,Manioasa,2014,,publica stat,45.26546667,22.59185,1200.0,1300.0,Caras Severin,OS Teregova,IV,89B,4161.0,2.69,,,POINT (22.59185 45.26546667),65,0
74,Manioasa,2014,,publica stat,45.27023333,22.59230278,1250.0,1350.0,Caras Severin,OS Teregova,IV,90,4161.0,6.68,,,POINT (22.59230278 45.27023333),85,0
75,Manioasa,2014,,publica stat,45.27093056,22.59144444,1250.0,1350.0,Caras Severin,OS Teregova,IV,91,4161.0,9.05,,,POINT (22.59144444 45.27093056),81,0
76,Izv.Mehadicii,2013,,publica stat,43.95633611,23.85235556,1070.0,1260.0,Caras Severin,O.S. Mehadia,III,143A,4111.0,28.78,,,POINT (23.85235556 43.95633611),0,0
77,Izv.Mehadicii,2013,,publica stat,43.95725833,23.84761667,1135.0,1135.0,Caras Severin,O.S. Mehadia,III,143B,4111.0,0.62,,,POINT (23.84761667 43.95725833),0,0
78,Izv.Mehadicii,2013,,publica stat,43.96025278,23.84729444,1105.0,1110.0,Caras Severin,O.S. Mehadia,III,144A,4111.0,2.91,,,POINT (23.84729444 43.96025278),0,0
79,Izv.Mehadicii,2013,,publica stat,43.95886111,23.85510556,1085.0,1255.0,Caras Severin,O.S. Mehadia,III,144B,4111.0,35.57,,,POINT (23.85510556 43.95886111),0,0
